id	handle	title	category	descr	bucket
prod_01KTVK85RY9CBWKHQ9SQTEDSPQ	tpl-can-63	cartoon network card sticker	Card Stickers	has	X
prod_01KTVK85RW41QXH1ERVBCAKSRD	tpl-hol-166-cs	Hang on let me overthink card sticker	Card Stickers	has	X
prod_01KTVK85RW492K8M2REMC4GNB9	tpl-iss-186-cs	I solemnly swear - harry potter card sticker	Card Stickers	has	X
prod_01KTVK85RWHYPDNDY1CFY8PB1F	tpl-mat-240-cs	Monopoly advance to home card sticker	Card Stickers	has	X
prod_01KTVK85RWVH9GMYD8TRHSZFMC	tpl-mgo-242-cs	Monopoly get out of work card sticker	Card Stickers	has	X
prod_01KTVK85RWPTRWZ5WA6F08SPQP	tpl-pok-295-cs	Pokemon card sticker	Card Stickers	has	X
prod_01KTVK85RW1FHXZGJ94TBCYM50	if-cs-0003	Rich Af card sticker	Card Stickers	has	X
prod_01KTVK85RWQKYJ1W8FRMW9K4S0	if-cs-0051	Rick and morty portal card sticker	Card Stickers	has	X
prod_01KTVK85RWN0EPQSM3KA3PHWT0	tpl-su-amp-337-cs	SHUT UP &amp; TAKE MY MONEY card sticker	Card Stickers	has	X
prod_01KTVK85RW8ZNEE8RBG5982QJT	if-cs-0024	Stranger things card sticker	Card Stickers	has	X
prod_01KTVK84PZXN6BR9P07ZTSQ6SC	if-dskc-0044	Always hungry Keychain	Double sided Keychain	has	X
prod_01KTVK852Y35D9BJWBKSZJRA4Q	if-dskc-0080	BTS Keychain	Double sided Keychain	has	X
prod_01KTVK84PZK0SVQ670S6XAZ55N	if-dskc-0031	Coffee Keychain	Double sided Keychain	has	X
prod_01KTVK84PZ8DKQRPQY5SDE382S	if-dskc-0039	Cute cat Keychain	Double sided Keychain	has	X
prod_01KTVK852YPYYTN0JDHGHEH547	if-dskc-0078	Dota Keychain	Double sided Keychain	has	X
prod_01KTVK84PZG6BSJJ59E3EQVR0S	if-dskc-0046	Fries Keychain	Double sided Keychain	has	X
prod_01KTVK84PY2M48PZ16PV95WR7H	if-dskc-0011	give into beer pressure Keychain	Double sided Keychain	has	X
prod_01KTVK84PZF996J67YW84WMH1R	if-dskc-0049	Macaron Keychain	Double sided Keychain	has	X
prod_01KTVK84PZZETRFRCXQ188VGRH	if-dskc-0054s	Pancake Keychain	Double sided Keychain	has	X
prod_01KTVK84PY5569B7GC4P6Z7GH4	if-dskc-0017	Playstation Keychain	Double sided Keychain	has	X
prod_01KTVK852Y3RPS26GPN6CCZP4Q	if-dskc-0079	Pubg Winner winner chicken dinner Keychain	Double sided Keychain	has	X
